obs,lat,lon,altitude,time,air_temp,dew_point,rel_hum,mixing_ratio,air_press,air_rho,gpt,gpt_height,wind_speed,wind_dir,sensible_heat,latent_heat
0,46.812244,6.944007,494.2622845717234,2023-03-27 02:58:04.000000000,5.171054705882341,3.849853523525212,91.29356918718712,0.0052919077252368,95612.66834365323,1.1929270937555454,4846.680385503983,494.2238568220528,1.539159779670378,182.5618221379425,0.0,0.0
1,46.812244,6.944006,494.9030345093503,2023-03-27 02:58:04.380172413,5.170087322527479,3.8072091991740535,91.03074669962729,0.005276823220039,95603.0366493156,1.1928219167960372,4852.963018212215,494.8645070653296,1.65229308041174,185.1281238274128,-1.8098880388164915,-68.16128954161545
2,46.812244,6.9440045,497.57072154471547,2023-03-27 02:58:04.760344827,5.160454736585393,3.752925962054235,90.74934525983298,0.005258815705473,95568.92865853658,1.1924505668154763,4879.120007260888,497.5317776468915,1.6744548116592732,185.5780508285608,-4.327274648923348,-19.53859220865485
3,46.812244,6.9440017,500.414675925926,2023-03-27 02:58:05.140517241,5.1398194666666654,3.6789871643498486,90.41335558780727,0.0052334964679623,95537.1619212963,1.1921607808995338,4907.005294449319,500.3752855918504,1.6783529114348974,187.9118336013206,-8.693375133298263,-25.764133070549345
4,46.812244,6.9439993,503.1114558232932,2023-03-27 02:58:05.520689655,5.112560020481908,3.6632437675194183,90.48468437691882,0.0052290377209272,95510.12364457831,1.191943260680522,4933.447496503353,503.071639805984,1.692929050110712,189.3730513846155,-12.108578741450296,-4.783970411080859
5,46.812244,6.9439983,504.97436594202895,2023-03-27 02:58:05.900862068,5.091269612318854,3.664117458845851,90.62324367308474,0.0052302849286925,95489.89148550724,1.191780985898233,4951.713507194606,504.93425453081386,1.7426760920775677,192.8888386682674,-13.688460271094222,1.9369138976260765
6,46.812244,6.943999,507.8752037037037,2023-03-27 02:58:06.281034482,5.050405713333362,3.6437002281738273,90.7496524857544,0.005224516017266,95453.77222222222,1.1915092395751905,4980.15647571491,507.8346301453514,1.787405820684203,194.5097303358973,-16.86863099302782,-5.752236815160621
7,46.812244,6.9439993,510.57894230769233,2023-03-27 02:58:06.661206896,5.039277537500027,3.6114664198019,90.6164290927242,0.0052145390168251,95421.2528846154,1.1911581140588858,5006.666846346205,510.5379356198299,1.8535001180943464,196.7862343848019,-4.9271382979071285,-10.670393065372808
8,46.812244,6.9439993,512.9636057692308,2023-03-27 02:58:07.041379310,5.032804800000008,3.599438767994968,90.58157247926285,0.0052116163621841,95394.3125,1.1908515984613963,5030.04864128109,512.9222151581927,1.877836788185528,196.90703895805785,-3.24851295464942,-3.543148330964299
9,46.812244,6.944,515.5812916666666,2023-03-27 02:58:07.421551724,5.02265006250002,3.5737104065368612,90.4833990405402,0.0052036816424604,95367.92500000002,1.1905713297981604,5055.71521758575,515.5394775571424,1.9282282380138935,198.9171734289684,-4.641652781059582,-8.761035832662351
10,46.812244,6.944,518.1555288461539,2023-03-27 02:58:07.801724137,5.007308105769255,3.4102876812833074,89.56642339963929,0.0051463059411515,95340.61778846156,1.1903368912020242,5080.955755840617,518.1132961654201,2.008930471513133,200.0439127970007,-7.129649012727437,-64.41151865652375
11,46.812244,6.9439993,519.6919715447154,2023-03-27 02:58:08.181896551,5.0006740317073195,3.2853708768064394,88.83486173165929,0.0051027867582667,95321.36341463414,1.1901560584047728,5096.020651935878,519.6494880449367,2.16179738728288,200.83942236726816,-5.164567062152797,-81.8513913971253
12,46.812244,6.9439993,523.0825,2023-03-27 02:58:08.562068965,4.979232100000047,2.9641890022146526,86.98206506471898,0.0049919329591441,95279.88541666669,1.1898101818236686,5129.2649241425215,523.0394603807133,2.301143062312032,201.1462695495458,-7.562062417345885,-94.46813999364085
13,46.812244,6.9439993,525.35475,2023-03-27 02:58:08.942241379,4.968624200000022,2.9394641312864564,86.89551337405658,0.0049845603731217,95254.97125,1.1895497190910291,5151.544409842435,525.3113356592145,2.3287074620692447,204.0198056053078,-5.581127775320354,-9.373934574028125
14,46.812244,6.9439993,527.8394791666667,2023-03-27 02:58:09.322413793,4.959873075000019,2.912818991489246,86.78637465161057,0.0049768981756619,95223.390625,1.1891982516685942,5175.907242503347,527.7956532050545,2.382392013660465,206.041533366954,-4.209254192848055,-8.906572837337011
15,46.81225,6.943999,530.7657291666667,2023-03-27 02:58:09.702586206,4.950053953125007,2.883564556005922,86.66786804777765,0.0049688304289362,95182.36875,1.188733706940128,5204.599173741086,530.7214159515315,2.453814130921482,206.73589286218905,-4.008776677006964,-7.960022292748348
16,46.81225,6.943999,532.6975,2023-03-27 02:58:10.082758620,4.93794170000001,2.8638943428477432,86.62107878187682,0.0049633554941595,95154.9875,1.188447417101779,5223.540205287372,532.6528636473589,2.594424488393841,208.740060980354,-7.488854046127365,-8.180842775392563
17,46.81225,6.9439993,535.6187499999999,2023-03-27 02:58:10.462931034,4.921599000000015,2.8432081298327603,86.593356430392,0.0049579682694672,95118.68333333336,1.1880676564415302,5252.183067686478,535.5736227648054,2.647914115095815,209.5220117781117,-6.679782440863875,-5.321535469764668
